Designator,Value,Footprint,LCSC,MfrPart,Populate,Function,Note
C1,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 CLK P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C2,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 CLK N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C3,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 D0 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C4,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 D0 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C5,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 D1 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C6,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 D1 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C7,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 D2 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C8,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I1 D2 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C9,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 CLK P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C10,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 CLK N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C11,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 D0 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C12,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 D0 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C13,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 D1 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C14,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 D1 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C15,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 D2 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C16,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I2 D2 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C17,100nF,C_0402_1005Metric,C1525,,DNP,VBIAS bypass,NOT FITTED. Part of the AC-coupling option.
C18,33pF,C_0402_1005Metric,C1555,,DNP,Optional ringing damper on LINK_SLOW_IN,NOT FITTED. Fit if the unterminated cable wire rings enough to double-clock the receiver.
C19,100nF,C_0402_1005Metric,C1525,,yes,U1 VCC,
C20,100nF,C_0402_1005Metric,C1525,,yes,U2 VCC,
C21,100nF,C_0402_1005Metric,C1525,,yes,U3 VCC,
C22,10uF,C_0805_2012Metric,C15525,,yes,+3V3 bulk,
C23,100nF,C_0402_1005Metric,C1525,,yes,+3V3 bulk HF,
C24,10uF,C_0805_2012Metric,C15525,,yes,5 V input bulk,
C25,100nF,C_0402_1005Metric,C1525,,yes,5 V input HF,
C26,10uF,C_0805_2012Metric,C15525,,yes,U4 output bulk,
C27,100nF,C_0402_1005Metric,C1525,,yes,extra +3V3,
D1,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D2,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D3,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D4,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D5,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D6,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D7,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D8,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D9,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
H1,M3,MountingHole_3.2mm_M3_Pad,,,yes,"M3 mounting hole, grounded",
H2,M3,MountingHole_3.2mm_M3_Pad,,,yes,"M3 mounting hole, grounded",
J1,J14 2x20 socket,PinSocket_2x20_P2.54mm_Vertical,C50982,2.54mm 2x20P female header,yes,Mates the 2x20 male header the user solders into the Tang dock J14 holes (Bank 4),"Bottom side. Every J14 pin not in PINMAP.md is left electrically open so PMOD0, PMOD1 and the DVP camera stay usable."
J2,IN 1 (HDMI),HDMI_A_Amphenol_10029449-x01xLF_Horizontal,C427307,Amphenol ICC 10029449-111RLF,yes,"IN 1: receives forward clock A and lanes 0,1,2 plus the status UART on SCL","Hybrid mount: reflow the 19 SMT contacts, then solder the four through-hole shell legs. Mating face flush with the board edge."
J3,IN 2 (HDMI),HDMI_A_Amphenol_10029449-x01xLF_Horizontal,C427307,Amphenol ICC 10029449-111RLF,yes,"IN 2: receives forward clock B and lanes 3,4,5. Its slow line is unused - board A has no pin left to drive it","Hybrid mount: reflow the 19 SMT contacts, then solder the four through-hole shell legs. Mating face flush with the board edge."
J4,OUT (HDMI),HDMI_A_Amphenol_10029449-x01xLF_Horizontal,C427307,Amphenol ICC 10029449-111RLF,yes,"OUT: drives the reverse clock and reverse lanes 0,1,2 plus the command channel on SCL","Hybrid mount: reflow the 19 SMT contacts, then solder the four through-hole shell legs. Mating face flush with the board edge."
J5,RX MODE,PinHeader_1x03_P2.54mm_Vertical,C2337,2.54mm 1x3P pin header,yes,"IN receiver enable (both receivers): 2-3 = auto, enabled only while a cable is in IN 1 (DEFAULT); 1-2 = force disabled, which is what the direct-LVDS experiment needs; no shunt = always enabled",
